片名,评分,热度,主题,年份,简介,BV码
绿色星球（中配版）,9.9分,1376.0万播放  ·  5.5万弹幕  ·  166万系列追剧,自然 ·,2022 ·,简介：《绿色星球》是全球首个通过沉浸式的呈现方式聚焦植物的4K纪录片，为观众揭开了这个不为人知却又和人类紧密相关的隐秘世界。“世界自然纪录片之父”大卫·爱登堡爵士将前往美国、哥斯达黎加、克罗地亚和北欧，从沙漠到山区，从雨林到冰天雪地的北极，带领观众进入一个超出人类想象的世界。,BV19a411z7oH
一路前行,9.9分,1257.8万播放  ·  4.2万弹幕  ·  5.1万追剧,人文 / 自然 ·,2023 ·,简介：《一路前行》是上海广播电视台联合哔哩哔哩出品的大型公益环保纪实节目。胡歌、刘涛、陈龙三位著名演员作为项目发起人，实地参与到了诸多公益环保的实践中，完成了一次绿色低碳的全媒体行动。该节目以沉浸观察记录的形式，聚焦环境保护工作和低碳生活方式，展现了一系列推动绿色发展、共同建设美丽中国的故事，是一次重审人与自然关系的问心之旅。,BV12c411X7q4
机甲大师 第四季（2023）,9.9分,74.3万播放  ·  3524弹幕  ·  1.1万系列追剧,科技 ·,2023 ·,简介：由 DJI  ROBOMASTER 出品的《机甲大师 2023》，是海内外首部纪录青年工程师成长的纪录片。2023年，《机甲大师》第四季纪录长片倾情归来，影片见证了那些坚守初心、激极尽志的青年工程师们，通过对技术的创新研发、与团队的磨合与碰撞、面临选择时的果敢与坚持，在青春之路的成长与蜕变，最终走上通往全球顶级竞技舞台的完整历程。,BV11h4y1r7nS
锻刀大赛 第2季,9.9分,686.6万播放  ·  1.6万弹幕  ·  11.1万系列追剧,科技 ·,2023 ·,"简介：节目于纽约布鲁克林拍摄。参赛者会在“锻工坊”里进行铸刀，内备各式金属加工器械、丙烷锻造设备、煤锻造设备、动力锤、研磨机、液压机。在每一轮淘汰赛的结束阶段，打造的武器被评为最差的锻造师会被淘汰并离场。现场有医疗人员从旁协助，以便处理任何因为锻造而产生的伤害或其他健康问题，若他们认定某些参赛者无法再安全地参赛，他们也有权让参赛者退赛。
最优秀的刀剑制造者会面对面地制造各种武器，从维京战斧到武士刀再到印度爪刀。每周都有新的武器和选手，以及对他们创造的惊人测试。在每一集的独立节目中，四名新选手都要证明自己能造出比其他人更好的武器，而且他们是用手造的。这部影片将制造武器的工艺、传奇和刺激变成了一场智慧、机智和独创性的对抗时间的战斗。",BV1wu4y1d7YB
极径,9.9分,153.3万播放  ·  1.4万弹幕  ·  2.6万追剧,探险 / 旅行 / 运动 / 自然 ·,2023 ·,简介：《极径》由阅路山出品，汇集了国内顶尖资深徒步者、以及影像的玩家。影片将跟随队员的徒步行走轨迹，去记录藏区最为极致的风光与人文。从世界海拔最高的喜马拉雅山脉开启云端之上的雪山盛宴，一路向西，至喜马拉雅山脉中段的希夏邦马峰，近距离去感受宛如冰雪仙境般的冰塔林，再往北进入与喜马拉雅山脉平行的冈底斯山脉最高峰冷布岗日，感受国王峰的威严与神秘，而后至冈底斯山脉的主峰冈仁波齐，去朝圣这万山之王。饱览过雪山盛宴之后，我们将转头来到藏东南，这片遗落人间的桃源秘境，这里不仅野花肆意盛开、海子林间点缀，也有着让人痴迷的雪山。,BV16D4y1W7Nu
无穷之路2 无价之保（粤语版）,9.9分,189.2万播放  ·  8219弹幕  ·  37.2万系列追剧,社会 ·,2023 ·,简介：在国家改革开放之初，于大街上随便找一个人谈环保，人们很可能会说还是“先发展”更重要; 对“发展”与“环境”的关系，多年来，国家经历了一场又一场深刻的体验与反思。经济增长的代价往往是环境污染、生态原貌急剧恶化等，人们痛定思痛之后，走上了艰巨的转型之旅。 近年，中国宣布全力推进生态文明建设，坚持人与自然和谐共生。制作团队再次踏上征途，由全国最南走到最北，深入极地无人区、沙漠、海底，又见证政府如何保护藏羚羊、野生象、新疆雪豹、长江鱼类等; 带观众探索中国的生态重建之路。,BV1w8411P7JE
野犬家族,9.9分,434.8万播放  ·  6583弹幕  ·  4.1万追剧,动物 / 自然 ·,2023 ·,简介：同一个家族，37张不同的面孔。这是一部极具突破意义的纪录片，对动物群像极具权威性的刻画，将永远改变我们对野生犬科动物的看法。野生犬科动物家族是地球上最成功的食肉动物。片中展现出许多难以置信的野生犬科习性与行为：不仅包括体型最大的，速度最快的，行踪最为隐秘和最聪明的犬类，甚至还有能爬树或通过打喷嚏来交流的犬种。走近犬科动物在荒蛮绝境生生不息的繁衍故事，并了解他们的生存智慧、交流方式和家庭纽带如何在族群存续中发挥关键的作用。,BV1624y1G7tJ
地球脉动 第二季,9.9分,1608.3万播放  ·  4.6万弹幕  ·  141.8万系列追剧,自然 / 动物 ·,2022 ·,简介： 曾经惊艳世人的纪录片《地球脉动》，再次由来自BBC的制作团队倾力呈献出最新的第二季。在这一季里，观众们将继续见证地球各个角落动物、植物平凡而精彩的生命瞬间。本季总共六集，分为岛屿、山脉、丛林、沙漠、草原和城市，树懒、巨蜥、狐猴、海鬣蜥、帽带企鹅、雪豹、金雕、蜘蛛猴、美洲豹……大自然的神奇之手创造的万千生物以其各自的习性自幼生活在生身土地之上。他们顺应着严苛的自然环境，顽强追逐着明日的朝阳。然而人类肆无忌惮的活动则侵蚀着其他生物的生存环境。它们渺小而伟大，通过BBC的镜头，生命的光辉得以放大，闪耀在地球的每一个角落。,BV1Pe4y147Zj
天才职业故事,9.9分,2373.7万播放  ·  17.1万弹幕  ·  21.6万追剧,社会 / 医疗 / 罪案 / 人文 ·,2022 ·,"简介：《天才职业故事》是由天才捕手计划出品的首部动画纪录片，打捞各种带劲的职业，每集讲述一个不为人知的真实职业故事。
《天才职业故事》试图通过挖掘和讲述真实的职业故事，帮助青年了解更多的职业信息，消除迷茫，打破对职业的偏见和幻想。",BV11w411o7xq
王朝 2（中配版）,9.9分,2188.4万播放  ·  3.5万弹幕  ·  69.2万系列追剧,动物 / 自然 ·,2022 ·,简介：从巴塔哥尼亚冰天雪地的安第斯山脉，到赞比亚广袤无垠的平原，再到乞力马扎罗山山麓的辽阔草原，《王朝II》重磅回归——这部系列片比前作更精彩纷呈，内容一波三折，从新颖的角度为观众展现一群极具魅力的动物不为人知的生活面貌。,BV1MZ4y1b7PW
再会长江,9.9分,388.1万播放  ·  4.8万弹幕  ·  7.9万追剧,人文 / 历史 / 社会 ·,2022 ·,"简介：2011年，竹内导演为NHK拍摄纪录片《长江天地大纪行》，以此为契机，深深爱上了中国的土地，并决定迁居中国。十年后，决定重走一遍这6300多公里。

透过一条江，看中国这十年的变化。中国经济高速发展的这十年，如何通过长江的一路风光，以及在长江沿岸普通百姓的真实生活中展示出来。经济发展的同时，又能给人类带来哪些感悟与反思呢？",BV11Y411V7Sm
今生，请多指教2,9.9分,64.5万播放  ·  1万弹幕  ·  3.3万系列追剧,萌宠 ·,2022 ·,简介：兽医在中国还只能算一个新兴的行业，初级阶段也存在着良莠不齐的现象，对普通受众来说，这个专业的关键词常常是“贵”、“听不懂”、“不高级”。但该专业其实对从业者要求极高，医生常常是全科操作，要有翻译阅读纯外语学术文章的能力，还要有足够的体能和抗压能力。值得期待的是，虽然这行的路非常难走，还是有大量的年轻人选择了这个专业。,BV1W5411x7tP
盛会,9.9分,1618.8万播放  ·  3.5万弹幕  ·  23.9万追剧,人文 / 社会 / 运动 ·,2022 ·,简介：《盛会》将从一个独特的幕后视角出发，展现北京2022年冬奥会开幕式演出的创作过程。这部2集的纪录片讲述了中国导演张艺谋和他精心挑选的团队历时三年的设计和制作过程。在这场全球疫情中，他们争分夺秒地制作出一系列令人印象深刻的表演。从奥运五环的设计和创造，到奥运火炬的展示，甚至再到艺术家蔡国强的烟花表演测试场地，该系列节目为观众提供了一个珍贵的内幕视角，欣赏这一全球盛事以及使其成为可能的尖端技术。在北京的标志性建筑“鸟巢”国家体育场和中国各地的秘密测试场地中，开幕式的故事将由参与该项目的关键人物讲述，并围绕张艺谋导演本人为中心，带来一组珍贵的个人采访。,BV1Tm4y1Z7zU
寻找手艺4,9.9分,66.9万播放  ·  6449弹幕  ·  28.7万系列追剧,历史 / 人文 ·,2022 ·,简介：《寻找手艺4》延续了寻找手艺系列的风格，以最真实的状态，分别记录了布袋戏、铁匠、皮影、锡匠、羊毛毡、鸽哨、错金银等40多项手艺，本次选取其中12项入正片。,BV1iT4y1m76K
吾家吾国·宝藏老人的那束光,9.9分,146.5万播放  ·  2288弹幕  ·  1.7万追剧,人文 / 社会 ·,2022 ·,简介：《吾家吾国》是由中央广播电视总台新闻中心、新闻新媒体中心、创新发展研究中心联合打造的一档针对国之大家的挖掘式纪实采访节目。《吾家吾国·宝藏老人的那束光》作为节目衍生内容，以记者王宁的视角出发，记录《吾家吾国》节目录制过程中自己的真实感受，与“大家”的真诚对话和深刻的思考。,BV1eT4y127ni
无穷之路（粤语版）,9.9分,494.3万播放  ·  4.6万弹幕  ·  37.2万系列追剧,社会 ·,2021 ·,简介：节目由陈贝儿担任主持，与摄制队穿梭全国六个省份，包括：四川、云南、宁夏、海南、广西、贵州，深入十个贫困县。整个旅程历时两个多月，经历几千里路。走遍南北踏上「无穷之路」，由全国最南部的热带雨林、走到云贵高原大峡谷、踏进大西北戈壁沙漠、进入川藏高原，深入民生了解各地在脱贫过程中的转变，细谈当中面对的挑战，分享成功脱贫故事。通过今昔对比，由偏远乡郊小镇赶上现今社区发展的步伐，回顾以往受生活条件所限的同时，呈现今天的幸福来之不易。,BV1X34y197hr
无穷之路,9.9分,1363万播放  ·  6.4万弹幕  ·  37.2万系列追剧,社会 ·,2021 ·,简介：节目由陈贝儿担任主持，与摄制队穿梭全国六个省份，包括：四川、云南、宁夏、海南、广西、贵州，深入十个贫困县。整个旅程历时两个多月，经历几千里路。走遍南北踏上「无穷之路」，由全国最南部的热带雨林、走到云贵高原大峡谷、踏进大西北戈壁沙漠、进入川藏高原，深入民生了解各地在脱贫过程中的转变，细谈当中面对的挑战，分享成功脱贫故事。通过今昔对比，由偏远乡郊小镇赶上现今社区发展的步伐，回顾以往受生活条件所限的同时，呈现今天的幸福来之不易。,BV1ni4y1o7j6
无尽攀登,9.9分,387.5万播放  ·  4468弹幕  ·  3.9万追剧,人文 / 探险 / 自然 / 旅行 ·,2022 ·,简介：世界第一高峰珠穆朗玛峰每年都迎来无数梦想者的挑战，夏伯渝是第一位靠假肢成功登上珠穆朗玛峰的中国“硬核大爷”！1975年夏伯渝加入中国登山队，在攀登珠峰时因帮助队友，导致自己因冻伤而双小腿被截肢，但他并未放弃自己登顶珠峰的梦想。在经历双腿截肢、癌症侵扰、病痛折磨的43年里，夏伯渝五次冲击珠穆朗玛峰，凭借自己的坚持不懈与热爱，最终于2018年5月14日被珠峰接纳，在69岁高龄成功登顶。这使他成为无腿登顶珠峰中国第一人，也是继姚明、刘翔、中国奥运代表团和李娜之后获得劳伦斯世界体育奖年度最佳体育时刻奖的中国人。,BV1hP4y1J793
凡人时代 第二季,9.9分,49万播放  ·  1248弹幕  ·  1.6万追剧,人文 ·,2021 ·,简介：《凡人时代》系列原创纪录片，由叙述方式文化出品，关注不同行业人物的真实人生，以平视的视角、温暖的风格，真实记录时代故事。,BV1Qq4y1H7Mr
火线救援,9.9分,2894.1万播放  ·  9.8万弹幕  ·  16.2万追剧,社会 ·,2021 ·,简介：《火线救援》是由哔哩哔哩联合出品的消防员题材系列纪录片，采用24小时蹲点贴身跟踪式拍摄手法，与一线消防员们同吃同住同出警，从第一视角记录城市英雄的故事，同时深入消防员个人家庭生活，展现其硬汉柔情的另一面。,BV1BR4y1E7do
1950他们正年轻,9.9分,798.6万播放  ·  3.4万弹幕  ·  18.7万追剧,纪实 ·,2021 ·,简介：2014年，首批437具中国志愿军烈士遗骸归国，离开祖国60多年的烈士英灵终于得以回家。71年前，那些花一样年轻的战士走上了抗美援朝战场，有些人回来了，而有些人永远地留在了那片土地上。,BV1Tr4y1m7rS
狗狗之家,9.9分,87.3万播放  ·  3781弹幕  ·  1.3万追剧,萌宠 / 动物 ·,2021 ·,简介：英国有近900万只狗，但为它们找到合适的家却不总是那么容易。故事发生在英国郊区一所狗狗救援中心，他们为流浪狗寻找新家。这个系列见证了人与狗的“约会”时刻，每集都记录了不受欢迎的宠物的到来令人心碎的被遗弃故事。,BV1JL4y18782
心外纪事,9.9分,75.7万播放  ·  2394弹幕  ·  2.7万追剧,人文 / 社会 / 医疗 ·,2021 ·,简介：《心外纪事》作为一部“高危病例治疗全纪录”的纪录长片，该片真实完整纪录了在临床治疗过程中，面对一例高危手术病例，医生群体如何从患者立场出发，充分讨论并勇于挑战高难度手术、最终取得成功的故事。片中大量细节真实感人，温暖而开放的故事表达，富有深意且引人深思。,BV1eU4y1E7oU
荒野求生全明星 第四季,9.9分,431.3万播放  ·  6108弹幕  ·  31.5万系列追剧,探险 ·,2021 ·,简介：继荒野求生后，NBC推出了一档全新节目，贝尔-格里尔斯将带领众多名人到偏僻的地方完成为期48小时的探险任务。贝尔将帮助明星“超越他们的极限”。这些明星获得的任务包括吃生肉、从飞机上一跃而下及穿越沙漠峡谷等等精彩冒险。,BV16h411B7xi
人间世 第一季,9.9分,4823万播放  ·  10.3万弹幕  ·  72.8万系列追剧,人文 / 社会 / 医疗 ·,2021 ·,简介：《人间世》是一场以医院为拍摄原点，聚焦医患双方面临病痛、生死考验时的重大选择、通过全景化的纪实拍摄，抓取一般观众无法看到的真实场景，还原真实的医患生态，人性化展现医患关系、全民参与、全民讨论的电视新闻纪录片。希望通过观察医院这个社会矛盾集中体现的标本，反应社会变革期，构建和谐医患关系的艰难前行，通过换位思考和善意的表达，展现一个真实的人间世态。,BV16y4y1L7gv
求偶游戏,9.9分,4924.3万播放  ·  13.3万弹幕  ·  60.4万系列追剧,自然 / 动物 ·,2021 ·,简介：这是动物为寻找配偶繁衍后代而引发的故事，故事引人入胜、令人捧腹又充满戏剧性。从新手到老手，从忠诚的伴侣到彻头彻尾的骗子，从浮夸炫耀到明目张胆的行为。我们将揭示动物寻找配偶的非凡策略。《求偶游戏 》 将深入分析如何才能成功地收获爱情。,BV1Lh411H7Xd
先生 叶连平,9.9分,8.7万播放  ·  651弹幕  ·  5813追剧,社会 ·,2021 ·,"简介：叶连平是安徽马鞍山市和县卜陈村的一名乡村教师。从教43年，94岁高龄的叶连平仍坚守在三尺讲台上。20年来，他免费给附近的留守儿童补习英语，没收过一分钱，被誉为“永不熄灭的乡村烛光”。叶连平一生无儿无女，已决定死后将遗体捐献给蚌埠医学院。
叶连平说“我希望呼出的最后一口气，是在讲台上。”德高为师，身正为范，是为先生。纪录片《先生叶连平》以沉稳的纪实镜头，对准这位白发苍苍的耄耋老人，片中叶连平以蹒跚步伐追赶时间的生命状态触动人心。",BV15K411c7Uw
共和国医者,9.9分,86万播放  ·  2206弹幕  ·  3.4万追剧,社会 ·,2021 ·,简介：《共和国医者》大型献礼纪录片由北京市卫生健康委员会权威指导、北京广播电视台生活频道《医者》栏目燃情制作。主创团队以独特生命视角回首百年征程，围绕1921-2021年数个重大历史节点开展抢救式记录，独家采访了50位平均年龄近96岁的国之大医，并深度呈现他们一生与党共同进退，用热血与求知铺就革命、救治、建设之路的感人故事。,BV16f4y1b7KW
BEATBOX街演旅行纪录片,9.9分,461.6万播放  ·  1.6万弹幕  ·  4.1万追剧,旅行 ·,2021 ·,简介：《张泽beatbox街演纪录片》纪录了我在2019年完成的街演旅行。每到一个新的国家或城市，我会用#beatbox#去街头表演，用赚到的钱，来支付食宿，和去下一站的路费。历时两个月，途径8个国家，11个城市。谢谢在这个旅途当中帮助过我们的人，也谢谢所有支持和喜欢beatbox的朋友们，这一定是我人生当中最最奇妙的一段经历。,BV1S64y127kM
百日大横断,9.9分,325.8万播放  ·  3万弹幕  ·  8.4万追剧,探险 / 旅行 ·,2021 ·,简介：荒野团队由《户外探险》发起，石头带队，于2020年6月10日进山，历时128天，徒步翻过100多个垭口，累计爬升80000多米，横跨四川、云南、西藏三省。一路上顶着三个月的雨季艰难行走，经历多次危险，滑坠悬崖、暴雪围困、山体滑坡、深山遇熊等，身体与精神上的极端浩劫，探索出中国第一部图文详尽、视频丰富的千公里级徒步路线。  完整纪录片分为12集，预计每周更新一集，让你身临其境，跟随我们，一起走进秘境之地——大横断。,BV1yK411F7P3
走近大凉山,9.9分,89.4万播放  ·  1.6万弹幕  ·  3.4万追剧,人文 / 历史 ·,2021 ·,简介：《走近大凉山》由南京和之梦文化传播有限公司制作，解读中国工作室出品。导演竹内亮奔赴与大凉山的“十年之约”，探访悬崖村易地扶贫搬迁、大凉山区小学和足球队，受邀参加当地彝族火把节，体验彝族家庭生活。竹内亮用镜头记录下大凉山的沿途美景、风土人情、文明乡风，揭示大凉山正在发生的深刻巨变。,BV1RQ4y1Z7ZX
但是还有书籍 第2季,9.9分,3847.8万播放  ·  13.9万弹幕  ·  209.4万系列追剧,人文 / 社会 ·,2022 ·,简介：由哔哩哔哩出品，北京小河文化传媒有限公司联合出品的《但是还有书籍 第2季》，将在延续第一季内容和风格的基础上进行拓展和升级。第二季仍致力于记录那些可爱可敬、对书籍怀抱热忱的编舟者、创作者、爱书人，展现他们丰饶有趣的精神世界，定格这个时代烂漫动人的阅读风景，希望让第一季那枚点燃人们读书兴趣的小火花，继续燃烧下去。,BV1TS4y1L7Rc
九零后,9.9分,139万播放  ·  4344弹幕  ·  4.6万追剧,人文 / 历史 ·,2021 ·,简介：1938年初始，山河沦陷。彼时的湖南长沙韭菜园外，包括闻一多等人，三百余名青年学子，在此身背行囊留下一张黑白照后，便又匆匆整装待发，被迫向着南部，徒步迁移。跋山涉险，横穿湘黔滇。历经整整两月有余，行路三千五百里。“世界教育史上的长征”，便也由此得来。终在昆明与其他两路师生汇合，组建了“教育界的珠穆朗玛峰”——西南联大。先后培养出了2位诺奖得主、171位院士和100多位人文大师。足以傲然的数字，伴随着战乱的纷扰。再一转眼，如今那黑白照中的器宇轩昂的少年，也已达耄耋之年。杨振宁、李政道、邓稼先……这些如今我们耳熟能详的名字，终究应有一些画面去掀开曾经的他们。在那些宛若星光璀璨的，应当让我们铭记的光辉背后，褪下光环的他们，又是如何鲜活的度过那些年……,BV1MU4y1w7yc
刘良：中国首例新冠肺炎遗体解剖者,9.9分,495.1万播放  ·  8426弹幕  ·  9.9万追剧,人文 / 医疗 ·,2021 ·,简介：由山东广播电视台出品的人物纪录片《刘良：中国首例新冠肺炎遗体解剖者》讲述了2020年初，在抗击新冠肺炎疫情中一位平凡而又耀眼的英雄——刘良的故事。刘良团队的解剖成果让这场“战疫”有了明确的作战方向。该纪录片题材重大，肩负着“向世界讲好中国抗疫故事”的使命，主角人物刘良自带光环，有家国情怀，使故事看点突出，引人入胜。其中，新冠肺炎遗体标本低温存放，以及纤支镜实验等影像都是首次对外披露。,BV1iK4y1h7BL
大猫,9.9分,2048.6万播放  ·  7.1万弹幕  ·  43.7万追剧,动物 / 自然 ·,2021 ·,简介：一个家族，40种不同面孔！将有非洲狮、虎、美洲豹、金钱豹、猎豹、云豹、雪豹、美洲狮、猞猁、豹猫、虎猫、渔猫、黑足猫、兔狲、薮猫、沙漠猫…等等很多野生猫科动物纷纷出镜！,BV1by4y1E7bV
卡悠提·彼得森：野地大胆王,9.9分,572.6万播放  ·  5889弹幕  ·  4.4万追剧,探险 / 自然 / 动物 ·,2020 ·,简介：动物专家和YouTube名人---土狼彼得森开启了荒野之旅，他遇到了一些世上最不可思议和最危险的动物。,BV1Ri4y1j7gM
为了和平,9.9分,158.4万播放  ·  -弹幕  ·  4.3万追剧,历史 / 人文 ·,2020 ·,简介：该片共6集，分别为《正义担当》《殊死较量》《血性迸发》《英雄赞歌》《万众一心》《伟大胜利》，每集约50分钟，采取史论结合、故事表达的方式，回顾呈现中国共产党领导抗美援朝战争的光辉历程和宝贵经验，全面反映抗美援朝战争的正义性质和伟大胜利，深入反映伟大的抗美援朝精神的丰富内涵和时代价值，集中展示中国人民志愿军的英雄事迹和革命精神，生动展现全国各族人民同仇敌忾、众志成城的大力支援和家国情怀，充分彰显中华民族不畏强暴、维护和平的坚定决心和巨大贡献。,BV1oK411A7dZ
金银潭实拍80天,9.9分,180.5万播放  ·  2.2万弹幕  ·  8.7万追剧,医疗 / 社会 ·,2020 ·,"简介：疫情来袭，武汉市金银潭医院从一个武汉人都觉陌生的名字，一夜之间成为抗疫救治最前线的代名词。
自2月起开始为期80天深入红区（ICU）拍摄的大小故事，探秘身处水深火热的“潭”中人的笑与泪、痛与欣，映照金银潭医院由默默无闻到家喻户晓的砥砺与承担。
五位病患，是平凡的国人，亦是不凡的国人，他们缩影了疫情中的千门万户，透照了纷繁复杂背后的人性纯真，以落点的真实细腻，传人心的破空之声。",BV1v54y1C7Ch
好久不见，武汉,9.9分,130.5万播放  ·  2.6万弹幕  ·  5.0万追剧,人文 / 社会 ·,2020 ·,简介：《好久不见，武汉》影片介绍了住在南京的日本人竹内亮导演，在武汉历经的10天，拍摄了“十个家庭十个故事一座城”。10位受访者，讲述了10个普通家庭在疫情当时，与武汉息息相关的经历。1个小时，10个故事，浓缩10个瞬间，回溯武汉当时经历，串联起我们关于武汉的记忆。欢笑和泪水，毫不掩饰地在镜头前释放。你、我、他，之间的界限变得不那么分明。,BV1aA411i7jV
